,emoji_symbol,emoji_name,emoji_code,emoji_description
1590,🇬🇱,🇱 Flag: Greenland,"U+1F1EC, U+1F1F1","The flag for Greenland, which may show as the lettersGLon some platforms.The Flag: Greenland emoji is aflag sequencecombining🇬Regional Indicator Symbol Letter Gand🇱Regional Indicator Symbol Letter L.
These display as a single emoji on supported platforms."
1591,🇬🇲,🇲 Flag: Gambia,"U+1F1EC, U+1F1F2","The flag for Gambia, which may show as the lettersGMon some platforms.The Flag: Gambia emoji is aflag sequencecombining🇬Regional Indicator Symbol Letter Gand🇲Regional Indicator Symbol Letter M.
These display as a single emoji on supported platforms."
1592,🇬🇳,🇳 Flag: Guinea,"U+1F1EC, U+1F1F3","The flag for Guinea, which may show as the lettersGNon some platforms.The Flag: Guinea emoji is aflag sequencecombining🇬Regional Indicator Symbol Letter Gand🇳Regional Indicator Symbol Letter N.
These display as a single emoji on supported platforms."
1593,🇬🇵,🇵 Flag: Guadeloupe,"U+1F1EC, U+1F1F5","The flag for Guadeloupe, which may show as the lettersGPon some platforms.The latest versions of iOS and OS X use thelocal unofficial flag, basedon the coat of arms of Guadeloupe’s capitalBasse-Terre.This is used instead oftheFlag For France,which is the official flag of Guadeloupe.The Flag: Guadeloupe emoji is aflag sequencecombining🇬Regional Indicator Symbol Letter Gand🇵Regional Indicator Symbol Letter P.
These display as a single emoji on supported platforms."
1594,🇬🇶,🇶 Flag: Equatorial Guinea,"U+1F1EC, U+1F1F6","The flag for Equatorial Guinea, which may show as the lettersGQon some platforms.The Flag: Equatorial Guinea emoji is aflag sequencecombining🇬Regional Indicator Symbol Letter Gand🇶Regional Indicator Symbol Letter Q.
These display as a single emoji on supported platforms."
1595,🇬🇷,🇷 Flag: Greece,"U+1F1EC, U+1F1F7","The flag forGreece, which may show as the lettersGRon some platforms.The Flag: Greece emoji is aflag sequencecombining🇬Regional Indicator Symbol Letter Gand🇷Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms."
1596,🇬🇸,🇸 Flag: South Georgia & South Sandwich Islands,"U+1F1EC, U+1F1F8","The Flag: South Georgia & South Sandwich Islands emoji is aflag sequencecombining🇬Regional Indicator Symbol Letter Gand🇸Regional Indicator Symbol Letter S.
These display as a single emoji on supported platforms."
1597,🇬🇹,🇹 Flag: Guatemala,"U+1F1EC, U+1F1F9","The flag for Guatemala, which may show as the lettersGTon some platforms.The Flag: Guatemala emoji is aflag sequencecombining🇬Regional Indicator Symbol Letter Gand🇹Regional Indicator Symbol Letter T.
These display as a single emoji on supported platforms."
1598,🇬🇺,🇺 Flag: Guam,"U+1F1EC, U+1F1FA","The flag for Guam, which may show as the lettersGUon some platforms.The Flag: Guam emoji is aflag sequencecombining🇬Regional Indicator Symbol Letter Gand🇺Regional Indicator Symbol Letter U.
These display as a single emoji on supported platforms."
1599,🇬🇼,🇼 Flag: Guinea-Bissau,"U+1F1EC, U+1F1FC","The flag for Guinea-Bissau, which may show as the lettersGWon some platforms.The Flag: Guinea-Bissau emoji is aflag sequencecombining🇬Regional Indicator Symbol Letter Gand🇼Regional Indicator Symbol Letter W.
These display as a single emoji on supported platforms."
1600,🇬🇾,🇾 Flag: Guyana,"U+1F1EC, U+1F1FE","The flag for Guyana, which may show as the lettersGYon some platforms.The Flag: Guyana emoji is aflag sequencecombining🇬Regional Indicator Symbol Letter Gand🇾Regional Indicator Symbol Letter Y.
These display as a single emoji on supported platforms."
1601,🇭🇰,🇰 Flag: Hong Kong SAR China,"U+1F1ED, U+1F1F0","The flag forHong Kong, which may show as the lettersHKon some platforms.The Flag: Hong Kong SAR China emoji is aflag sequencecombining🇭Regional Indicator Symbol Letter Hand🇰Regional Indicator Symbol Letter K.
These display as a single emoji on supported platforms."
1602,🇭🇲,🇲 Flag: Heard & McDonald Islands,"U+1F1ED, U+1F1F2","The flag for Heard & McDonald Islands, which may show as the lettersHMon some platforms.This is the same flag asAustralia.The Flag: Heard & McDonald Islands emoji is aflag sequencecombining🇭Regional Indicator Symbol Letter Hand🇲Regional Indicator Symbol Letter M.
These display as a single emoji on supported platforms."
1603,🇭🇳,🇳 Flag: Honduras,"U+1F1ED, U+1F1F3","The flag for Honduras, which may show as the lettersHNon some platforms.The Flag: Honduras emoji is aflag sequencecombining🇭Regional Indicator Symbol Letter Hand🇳Regional Indicator Symbol Letter N.
These display as a single emoji on supported platforms."
1604,🇭🇷,🇷 Flag: Croatia,"U+1F1ED, U+1F1F7","The flag for Croatia, which may show as the lettersHRon some platforms.The Flag: Croatia emoji is aflag sequencecombining🇭Regional Indicator Symbol Letter Hand🇷Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms."
1605,🇭🇹,🇹 Flag: Haiti,"U+1F1ED, U+1F1F9","The flag for Haiti, which may show as the lettersHTon some platforms.The Flag: Haiti emoji is aflag sequencecombining🇭Regional Indicator Symbol Letter Hand🇹Regional Indicator Symbol Letter T.
These display as a single emoji on supported platforms."
1606,🇭🇺,🇺 Flag: Hungary,"U+1F1ED, U+1F1FA","The flag forHungary, which may show as the lettersHUon some platforms.The Flag: Hungary emoji is aflag sequencecombining🇭Regional Indicator Symbol Letter Hand🇺Regional Indicator Symbol Letter U.
These display as a single emoji on supported platforms."
1607,🇮🇨,🇨 Flag: Canary Islands,"U+1F1EE, U+1F1E8","The flag for Canary Islands, which may show as the lettersICon some platforms.The Flag: Canary Islands emoji is aflag sequencecombining🇮Regional Indicator Symbol Letter Iand🇨Regional Indicator Symbol Letter C.
These display as a single emoji on supported platforms."
1608,🇮🇩,🇩 Flag: Indonesia,"U+1F1EE, U+1F1E9","The flag forIndonesia, which may show as the lettersIDon some platforms.The Flag: Indonesia emoji is aflag sequencecombining🇮Regional Indicator Symbol Letter Iand🇩Regional Indicator Symbol Letter D.
These display as a single emoji on supported platforms."
1609,🇮🇪,🇪 Flag: Ireland,"U+1F1EE, U+1F1EA","The flag forIreland, which may show as the lettersIEon some platforms.The Flag: Ireland emoji is aflag sequencecombining🇮Regional Indicator Symbol Letter Iand🇪Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms."
1610,🇮🇱,🇱 Flag: Israel,"U+1F1EE, U+1F1F1","The flag forIsrael, which may show as the lettersILon some platforms.The Flag: Israel emoji is aflag sequencecombining🇮Regional Indicator Symbol Letter Iand🇱Regional Indicator Symbol Letter L.
These display as a single emoji on supported platforms."
1611,🇮🇲,🇲 Flag: Isle of Man,"U+1F1EE, U+1F1F2","The flag forIsle of Man,which may show as the lettersIMon some platforms.The Flag: Isle of Man emoji is aflag sequencecombining🇮Regional Indicator Symbol Letter Iand🇲Regional Indicator Symbol Letter M.
These display as a single emoji on supported platforms."
1612,🇮🇳,🇳 Flag: India,"U+1F1EE, U+1F1F3","The flag forIndia, which may show as the lettersINon some platforms.The Flag: India emoji is aflag sequencecombining🇮Regional Indicator Symbol Letter Iand🇳Regional Indicator Symbol Letter N.
These display as a single emoji on supported platforms."
1613,🇮🇴,🇴 Flag: British Indian Ocean Territory,"U+1F1EE, U+1F1F4","The flag forBritish Indian Ocean Territory,which may show as the lettersIOon some platforms. The same flag is used forDiego Garcia.The Flag: British Indian Ocean Territory emoji is aflag sequencecombining🇮Regional Indicator Symbol Letter Iand🇴Regional Indicator Symbol Letter O.
These display as a single emoji on supported platforms."
1614,🇮🇶,🇶 Flag: Iraq,"U+1F1EE, U+1F1F6","The flag forIraq, which may show as the lettersIQon some platforms.The Flag: Iraq emoji is aflag sequencecombining🇮Regional Indicator Symbol Letter Iand🇶Regional Indicator Symbol Letter Q.
These display as a single emoji on supported platforms."
1615,🇮🇷,🇷 Flag: Iran,"U+1F1EE, U+1F1F7","The flag forIran, which may show as the lettersIRon some platforms.The Flag: Iran emoji is aflag sequencecombining🇮Regional Indicator Symbol Letter Iand🇷Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms."
1616,🇮🇸,🇸 Flag: Iceland,"U+1F1EE, U+1F1F8","The flag forIceland, which may show as the lettersISon some platforms.The Flag: Iceland emoji is aflag sequencecombining🇮Regional Indicator Symbol Letter Iand🇸Regional Indicator Symbol Letter S.
These display as a single emoji on supported platforms."
1617,🇮🇹,🇹 Flag: Italy,"U+1F1EE, U+1F1F9","The flag forItaly, which may show as the lettersITon some platforms.The Flag: Italy emoji is aflag sequencecombining🇮Regional Indicator Symbol Letter Iand🇹Regional Indicator Symbol Letter T.
These display as a single emoji on supported platforms."
1618,🇯🇪,🇪 Flag: Jersey,"U+1F1EF, U+1F1EA","The flag forJersey, which may show as the lettersJEon some platforms.The Flag: Jersey emoji is aflag sequencecombining🇯Regional Indicator Symbol Letter Jand🇪Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms."
1619,🇯🇲,🇲 Flag: Jamaica,"U+1F1EF, U+1F1F2","The flag forJamaica, which may show as the lettersJMon some platforms.The Flag: Jamaica emoji is aflag sequencecombining🇯Regional Indicator Symbol Letter Jand🇲Regional Indicator Symbol Letter M.
These display as a single emoji on supported platforms."
1620,🇯🇴,🇴 Flag: Jordan,"U+1F1EF, U+1F1F4","The flag forJordan, which may show as the lettersJOon some platforms.The Flag: Jordan emoji is aflag sequencecombining🇯Regional Indicator Symbol Letter Jand🇴Regional Indicator Symbol Letter O.
These display as a single emoji on supported platforms."
1621,🇯🇵,🇵 Flag: Japan,"U+1F1EF, U+1F1F5","The flag forJapan, which may show as the lettersJPon some platforms.The Flag: Japan emoji is aflag sequencecombining🇯Regional Indicator Symbol Letter Jand🇵Regional Indicator Symbol Letter P.
These display as a single emoji on supported platforms."
1622,🇰🇪,🇪 Flag: Kenya,"U+1F1F0, U+1F1EA","The flag forKenya, which may show as the lettersKEon some platforms.The Flag: Kenya emoji is aflag sequencecombining🇰Regional Indicator Symbol Letter Kand🇪Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms."
1623,🇰🇬,🇬 Flag: Kyrgyzstan,"U+1F1F0, U+1F1EC","The flag forKyrgyzstan, which may show as the lettersKGon some platforms.The Flag: Kyrgyzstan emoji is aflag sequencecombining🇰Regional Indicator Symbol Letter Kand🇬Regional Indicator Symbol Letter G.
These display as a single emoji on supported platforms."
1624,🇰🇭,🇭 Flag: Cambodia,"U+1F1F0, U+1F1ED","The flag for Cambodia, which may show as the lettersKHon some platforms.The Flag: Cambodia emoji is aflag sequencecombining🇰Regional Indicator Symbol Letter Kand🇭Regional Indicator Symbol Letter H.
These display as a single emoji on supported platforms."
1625,🇰🇮,🇮 Flag: Kiribati,"U+1F1F0, U+1F1EE","The flag forKiribati, which may show as the lettersKIon some platforms.The Flag: Kiribati emoji is aflag sequencecombining🇰Regional Indicator Symbol Letter Kand🇮Regional Indicator Symbol Letter I.
These display as a single emoji on supported platforms."
1626,🇰🇲,🇲 Flag: Comoros,"U+1F1F0, U+1F1F2","The flag for Comoros, which may show as the lettersKMon some platforms.The Flag: Comoros emoji is aflag sequencecombining🇰Regional Indicator Symbol Letter Kand🇲Regional Indicator Symbol Letter M.
These display as a single emoji on supported platforms."
1627,🇰🇳,🇳 Flag: St. Kitts & Nevis,"U+1F1F0, U+1F1F3","The Flag: St. Kitts & Nevis emoji is aflag sequencecombining🇰Regional Indicator Symbol Letter Kand🇳Regional Indicator Symbol Letter N.
These display as a single emoji on supported platforms."
1628,🇰🇵,🇵 Flag: North Korea,"U+1F1F0, U+1F1F5","The flag forNorth Korea, which may show as the lettersKPon some platforms.The Flag: North Korea emoji is aflag sequencecombining🇰Regional Indicator Symbol Letter Kand🇵Regional Indicator Symbol Letter P.
These display as a single emoji on supported platforms."
1629,🇰🇷,🇷 Flag: South Korea,"U+1F1F0, U+1F1F7","The flag forSouth Korea, which may show as the lettersKRon some platforms.The Flag: South Korea emoji is aflag sequencecombining🇰Regional Indicator Symbol Letter Kand🇷Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms."
1630,🇰🇼,🇼 Flag: Kuwait,"U+1F1F0, U+1F1FC","The flag forKuwait, which may show as the lettersKWon some platforms.The Flag: Kuwait emoji is aflag sequencecombining🇰Regional Indicator Symbol Letter Kand🇼Regional Indicator Symbol Letter W.
These display as a single emoji on supported platforms."
1631,🇰🇾,🇾 Flag: Cayman Islands,"U+1F1F0, U+1F1FE","The flag for Cayman Islands, which may show as the lettersKYon some platforms.The Flag: Cayman Islands emoji is aflag sequencecombining🇰Regional Indicator Symbol Letter Kand🇾Regional Indicator Symbol Letter Y.
These display as a single emoji on supported platforms."
1632,🇰🇿,🇿 Flag: Kazakhstan,"U+1F1F0, U+1F1FF","The flag forKazakhstan, which may show as the lettersKZon some platforms.The Flag: Kazakhstan emoji is aflag sequencecombining🇰Regional Indicator Symbol Letter Kand🇿Regional Indicator Symbol Letter Z.
These display as a single emoji on supported platforms."
1633,🇱🇦,🇦 Flag: Laos,"U+1F1F1, U+1F1E6","The flag forLaos, which may show as the lettersLAon some platforms.The Flag: Laos emoji is aflag sequencecombining🇱Regional Indicator Symbol Letter Land🇦Regional Indicator Symbol Letter A.
These display as a single emoji on supported platforms."
1634,🇱🇧,🇧 Flag: Lebanon,"U+1F1F1, U+1F1E7","The flag forLebanon, which may show as the lettersLBon some platforms.The Flag: Lebanon emoji is aflag sequencecombining🇱Regional Indicator Symbol Letter Land🇧Regional Indicator Symbol Letter B.
These display as a single emoji on supported platforms."
1635,🇱🇨,🇨 Flag: St. Lucia,"U+1F1F1, U+1F1E8","The Flag: St. Lucia emoji is aflag sequencecombining🇱Regional Indicator Symbol Letter Land🇨Regional Indicator Symbol Letter C.
These display as a single emoji on supported platforms."
1636,🇱🇮,🇮 Flag: Liechtenstein,"U+1F1F1, U+1F1EE","The flag forLiechtenstein, which may show as the lettersLIon some platforms.The Flag: Liechtenstein emoji is aflag sequencecombining🇱Regional Indicator Symbol Letter Land🇮Regional Indicator Symbol Letter I.
These display as a single emoji on supported platforms."
1637,🇱🇰,🇰 Flag: Sri Lanka,"U+1F1F1, U+1F1F0","The flag forSri Lanka, which may show as the lettersLKon some platforms.The Flag: Sri Lanka emoji is aflag sequencecombining🇱Regional Indicator Symbol Letter Land🇰Regional Indicator Symbol Letter K.
These display as a single emoji on supported platforms."
1638,🇱🇷,🇷 Flag: Liberia,"U+1F1F1, U+1F1F7","The flag forLiberia, which may show as the lettersLRon some platforms.The Flag: Liberia emoji is aflag sequencecombining🇱Regional Indicator Symbol Letter Land🇷Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms."
1639,🇱🇸,🇸 Flag: Lesotho,"U+1F1F1, U+1F1F8","The flag forLesotho, which may show as the lettersLSon some platforms.The Flag: Lesotho emoji is aflag sequencecombining🇱Regional Indicator Symbol Letter Land🇸Regional Indicator Symbol Letter S.
These display as a single emoji on supported platforms."
1640,🇱🇹,🇹 Flag: Lithuania,"U+1F1F1, U+1F1F9","The flag forLithuania, which may show as the lettersLTon some platforms.The Flag: Lithuania emoji is aflag sequencecombining🇱Regional Indicator Symbol Letter Land🇹Regional Indicator Symbol Letter T.
These display as a single emoji on supported platforms."
1641,🇱🇺,🇺 Flag: Luxembourg,"U+1F1F1, U+1F1FA","The flag forLuxembourg, which may show as the lettersLUon some platformsThe Flag: Luxembourg emoji is aflag sequencecombining🇱Regional Indicator Symbol Letter Land🇺Regional Indicator Symbol Letter U.
These display as a single emoji on supported platforms."
1642,🇱🇻,🇻 Flag: Latvia,"U+1F1F1, U+1F1FB","The flag forLatvia, which may show as the lettersLVon some platforms.The Flag: Latvia emoji is aflag sequencecombining🇱Regional Indicator Symbol Letter Land🇻Regional Indicator Symbol Letter V.
These display as a single emoji on supported platforms."
1643,🇱🇾,🇾 Flag: Libya,"U+1F1F1, U+1F1FE","The flag forLibya, which may show as the lettersLYon some platforms.The Flag: Libya emoji is aflag sequencecombining🇱Regional Indicator Symbol Letter Land🇾Regional Indicator Symbol Letter Y.
These display as a single emoji on supported platforms."
1644,🇲🇦,🇦 Flag: Morocco,"U+1F1F2, U+1F1E6","The flag forMorocco, which may show as the lettersMAon some platforms.The Flag: Morocco emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇦Regional Indicator Symbol Letter A.
These display as a single emoji on supported platforms."
1645,🇲🇨,🇨 Flag: Monaco,"U+1F1F2, U+1F1E8","The flag forMonaco, which may show as the lettersMCon some platforms.The Flag: Monaco emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇨Regional Indicator Symbol Letter C.
These display as a single emoji on supported platforms."
1646,🇲🇩,🇩 Flag: Moldova,"U+1F1F2, U+1F1E9","The flag forMoldova, which may show as the lettersMDon some platforms.The Flag: Moldova emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇩Regional Indicator Symbol Letter D.
These display as a single emoji on supported platforms."
1647,🇲🇪,🇪 Flag: Montenegro,"U+1F1F2, U+1F1EA","The flag forMontenegro, which may show as the lettersMEon some platformsThe Flag: Montenegro emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇪Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms."
1648,🇲🇫,🇫 Flag: St. Martin,"U+1F1F2, U+1F1EB","The flag for St. Martin, which may show as the lettersMFon some platforms.This is theFrenchhalf of the of the Caribbean island of Saint Martin. Not to be confused withSint Maarten, the Dutch half of the same island.The Flag: St. Martin emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇫Regional Indicator Symbol Letter F.
These display as a single emoji on supported platforms."
1649,🇲🇬,🇬 Flag: Madagascar,"U+1F1F2, U+1F1EC","The flag forMadagascar, which may show as the lettersMGon some platformsThe Flag: Madagascar emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇬Regional Indicator Symbol Letter G.
These display as a single emoji on supported platforms."
1650,🇲🇭,🇭 Flag: Marshall Islands,"U+1F1F2, U+1F1ED","The flag forMarshall Islands, which may show as the lettersMHon some platforms.The Flag: Marshall Islands emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇭Regional Indicator Symbol Letter H.
These display as a single emoji on supported platforms."
1651,🇲🇰,🇰 Flag: North Macedonia,"U+1F1F2, U+1F1F0","The flag forNorthMacedonia(until 2019:Macedonia), which may show as the lettersMKon some platforms.Displaysa stylized yellow sun on a red background, with eight rays extending from the center to each edge.The Flag: North Macedonia emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇰Regional Indicator Symbol Letter K.
These display as a single emoji on supported platforms."
1652,🇲🇱,🇱 Flag: Mali,"U+1F1F2, U+1F1F1","The flag forMali, which may show as the lettersMLon some platforms.The Flag: Mali emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇱Regional Indicator Symbol Letter L.
These display as a single emoji on supported platforms."
1653,🇲🇲,🇲 Flag: Myanmar (Burma),"U+1F1F2, U+1F1F2","The flag forMyanmar, which may show as the lettersMMon some platforms.The Flag: Myanmar (Burma) emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇲Regional Indicator Symbol Letter M.
These display as a single emoji on supported platforms."
1654,🇲🇳,🇳 Flag: Mongolia,"U+1F1F2, U+1F1F3","The flag forMongolia, which may show as the lettersMNon some platforms.The Flag: Mongolia emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇳Regional Indicator Symbol Letter N.
These display as a single emoji on supported platforms."
1655,🇲🇴,🇴 Flag: Macao Sar China,"U+1F1F2, U+1F1F4","The flag forMacau, which may show as the lettersMOon some platforms.The Flag: Macao Sar China emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇴Regional Indicator Symbol Letter O.
These display as a single emoji on supported platforms."
1656,🇲🇵,🇵 Flag: Northern Mariana Islands,"U+1F1F2, U+1F1F5","The flag forNorthern Mariana Islands, which may show as the lettersMPon some platforms.The Flag: Northern Mariana Islands emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇵Regional Indicator Symbol Letter P.
These display as a single emoji on supported platforms."
1657,🇲🇶,🇶 Flag: Martinique,"U+1F1F2, U+1F1F6","The flag forMartinique, which may show as the lettersMQon some platforms.Most platforms display thehistoricalsnake flag of Martiniqueinstead oftheFlag For France,which is the official flag ofMartinique.The Flag: Martinique emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇶Regional Indicator Symbol Letter Q.
These display as a single emoji on supported platforms."
1658,🇲🇷,🇷 Flag: Mauritania,"U+1F1F2, U+1F1F7","The flag forMauritania, which may show as the lettersMRon some platforms. This designchangedin August 2017, adding a red band at the top and bottom.Only newer vendor updates display the new flag design.The Flag: Mauritania emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇷Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms."
1659,🇲🇸,🇸 Flag: Montserrat,"U+1F1F2, U+1F1F8","The flag forMontserrat, which may show as the lettersMSon some platforms.The Flag: Montserrat emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇸Regional Indicator Symbol Letter S.
These display as a single emoji on supported platforms."
1660,🇲🇹,🇹 Flag: Malta,"U+1F1F2, U+1F1F9","The flag forMalta, which may show as the lettersMTon some platforms.The Flag: Malta emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇹Regional Indicator Symbol Letter T.
These display as a single emoji on supported platforms."
1661,🇲🇺,🇺 Flag: Mauritius,"U+1F1F2, U+1F1FA","The flag forMauritius, which may show as the lettersMUon some platforms.The Flag: Mauritius emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇺Regional Indicator Symbol Letter U.
These display as a single emoji on supported platforms."
1662,🇲🇻,🇻 Flag: Maldives,"U+1F1F2, U+1F1FB","The flag forMaldives, which may show as the lettersMVon some platforms.The Flag: Maldives emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇻Regional Indicator Symbol Letter V.
These display as a single emoji on supported platforms."
1663,🇲🇼,🇼 Flag: Malawi,"U+1F1F2, U+1F1FC","The flag forMalawi, which may show as the lettersMWon some platforms.The Flag: Malawi emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇼Regional Indicator Symbol Letter W.
These display as a single emoji on supported platforms."
1664,🇲🇽,🇽 Flag: Mexico,"U+1F1F2, U+1F1FD","The flag forMexico, which may show as the lettersMXon some platforms.The Flag: Mexico emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇽Regional Indicator Symbol Letter X.
These display as a single emoji on supported platforms."
1665,🇲🇾,🇾 Flag: Malaysia,"U+1F1F2, U+1F1FE","The flag forMalaysia, which may show as the lettersMYon some platforms.The Flag: Malaysia emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇾Regional Indicator Symbol Letter Y.
These display as a single emoji on supported platforms."
1666,🇲🇿,🇿 Flag: Mozambique,"U+1F1F2, U+1F1FF","The flag forMozambique, which may show as the lettersMZon some platforms.The Flag: Mozambique emoji is aflag sequencecombining🇲Regional Indicator Symbol Letter Mand🇿Regional Indicator Symbol Letter Z.
These display as a single emoji on supported platforms."
1667,🇳🇦,🇦 Flag: Namibia,"U+1F1F3, U+1F1E6","The flag forNamibia, which may show as the lettersNAon some platforms.The Flag: Namibia emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇦Regional Indicator Symbol Letter A.
These display as a single emoji on supported platforms."
1668,🇳🇨,🇨 Flag: New Caledonia,"U+1F1F3, U+1F1E8","The flag forNew Caledonia, which may show as the lettersNCon some platforms.The Flag: New Caledonia emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇨Regional Indicator Symbol Letter C.
These display as a single emoji on supported platforms."
1669,🇳🇪,🇪 Flag: Niger,"U+1F1F3, U+1F1EA","The flag forNiger, which may show as the lettersNEon some platforms.The Flag: Niger emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇪Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms."
1670,🇳🇫,🇫 Flag: Norfolk Island,"U+1F1F3, U+1F1EB","The flag forNorfolk Island, which may show as the lettersNFon some platforms.The Flag: Norfolk Island emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇫Regional Indicator Symbol Letter F.
These display as a single emoji on supported platforms."
1671,🇳🇬,🇬 Flag: Nigeria,"U+1F1F3, U+1F1EC","The flag forNigeria, which may show as the lettersNGon some platforms.The Flag: Nigeria emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇬Regional Indicator Symbol Letter G.
These display as a single emoji on supported platforms."
1672,🇳🇮,🇮 Flag: Nicaragua,"U+1F1F3, U+1F1EE","The flag forNicaragua, which may show as the lettersNIon some platforms.The Flag: Nicaragua emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇮Regional Indicator Symbol Letter I.
These display as a single emoji on supported platforms."
1673,🇳🇱,🇱 Flag: Netherlands,"U+1F1F3, U+1F1F1","The flag forNetherlands, which may show as the lettersNLon some platforms.The Flag: Netherlands emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇱Regional Indicator Symbol Letter L.
These display as a single emoji on supported platforms."
1674,🇳🇴,🇴 Flag: Norway,"U+1F1F3, U+1F1F4","The flag forNorway, which may show as the lettersNOon some platforms.The Flag: Norway emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇴Regional Indicator Symbol Letter O.
These display as a single emoji on supported platforms."
1675,🇳🇵,🇵 Flag: Nepal,"U+1F1F3, U+1F1F5","The flag forNepal, which may show as the lettersNPon some platforms.The Flag: Nepal emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇵Regional Indicator Symbol Letter P.
These display as a single emoji on supported platforms."
1676,🇳🇷,🇷 Flag: Nauru,"U+1F1F3, U+1F1F7","The flag forNauru, which may show as the lettersNRon some platforms.The Flag: Nauru emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇷Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms."
1677,🇳🇺,🇺 Flag: Niue,"U+1F1F3, U+1F1FA","The flag forNiue, which may show as the lettersNUon some platforms.The Flag: Niue emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇺Regional Indicator Symbol Letter U.
These display as a single emoji on supported platforms."
1678,🇳🇿,🇿 Flag: New Zealand,"U+1F1F3, U+1F1FF","The flag forNew Zealand, which may show as the lettersNZon some platforms.The Flag: New Zealand emoji is aflag sequencecombining🇳Regional Indicator Symbol Letter Nand🇿Regional Indicator Symbol Letter Z.
These display as a single emoji on supported platforms."
1679,🇴🇲,🇲 Flag: Oman,"U+1F1F4, U+1F1F2","The flag forOman, which may show as the lettersOMon some platforms.The Flag: Oman emoji is aflag sequencecombining🇴Regional Indicator Symbol Letter Oand🇲Regional Indicator Symbol Letter M.
These display as a single emoji on supported platforms."
1680,🇵🇦,🇦 Flag: Panama,"U+1F1F5, U+1F1E6","The flag forPanama, which may show as the lettersPAon some platforms.The Flag: Panama emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇦Regional Indicator Symbol Letter A.
These display as a single emoji on supported platforms."
1681,🇵🇪,🇪 Flag: Peru,"U+1F1F5, U+1F1EA","The flag forPeru, which may show as the lettersPEon some platforms.The Flag: Peru emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇪Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms."
1682,🇵🇫,🇫 Flag: French Polynesia,"U+1F1F5, U+1F1EB","The flag for French Polynesia, which may show as the lettersPFon some platforms.The Flag: French Polynesia emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇫Regional Indicator Symbol Letter F.
These display as a single emoji on supported platforms."
1683,🇵🇬,🇬 Flag: Papua New Guinea,"U+1F1F5, U+1F1EC","The flag forPapua New Guinea, which may show as the lettersPGon some platforms.The Flag: Papua New Guinea emoji is aflag sequencecombining🇵Regional Indicator Symbol Letter Pand🇬Regional Indicator Symbol Letter G.
These display as a single emoji on supported platforms."
